experiment,experiment_title,owner,conditions,evaluation_split,timing_scope,config_id,label,family,status,flags,seeds_attempted,seeds_valid,acc_mean,acc_sd,acc_per_seed,wall_seconds_mean,final_path,asset_sets,epochs,n_train,index_acc_mean,index_acc_sd
pilot_internal_gaussian,"First internal-filter pilots (prelim checks, one collapsed run)",Max,"10,000-image subsets, ResNet-20 GroupNorm; the first pilot collapsed to uniform prediction (LR too high)",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian,gaussian [launch pilot-manual],,valid,,1,1,20.62,,20.62,31.23686779899998,target (unfiltered),None,,,20.62,
pilot_internal_gaussian,"First internal-filter pilots (prelim checks, one collapsed run)",Max,"10,000-image subsets, ResNet-20 GroupNorm; the first pilot collapsed to uniform prediction (LR too high)",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain,plain [launch pilot-continuation-20260908-122558],,valid,,1,1,14.099999999999998,,14.10,24.28642441699992,target (unfiltered),None,,,14.099999999999998,
pilot_internal_gaussian,"First internal-filter pilots (prelim checks, one collapsed run)",Max,"10,000-image subsets, ResNet-20 GroupNorm; the first pilot collapsed to uniform prediction (LR too high)",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain,plain [launch pilot-manual],,valid,,1,1,14.12,,14.12,23.051964886000007,target (unfiltered),None,,,14.12,
gn_lr_audit,"GroupNorm LR diagnosis and 10,000-image plain vs Gaussian",Max,"10,000 train images, 5,000 val; ResNet-20 GroupNorm; 1,200 updates; val accuracy, not test",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian,gaussian_seed0,,valid,,3,3,46.906666666666666,0.6017751518078277,"46.96,47.48,46.28",61.10652601066666,target,None,,,46.906666666666666,0.6017751518078277
gn_lr_audit,"GroupNorm LR diagnosis and 10,000-image plain vs Gaussian",Max,"10,000 train images, 5,000 val; ResNet-20 GroupNorm; 1,200 updates; val accuracy, not test",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian_seed0_lr0p02,gaussian_seed0_lr0p02,,valid,,1,1,47.94,,47.94,66.43294875599997,target,None,,,47.94,
gn_lr_audit,"GroupNorm LR diagnosis and 10,000-image plain vs Gaussian",Max,"10,000 train images, 5,000 val; ResNet-20 GroupNorm; 1,200 updates; val accuracy, not test",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain,plain_seed0,,valid,,3,3,50.36000000000001,0.5211525688318164,"49.86,50.90,50.32",46.79479051533334,target,None,,,50.36000000000001,0.5211525688318164
gn_lr_audit,"GroupNorm LR diagnosis and 10,000-image plain vs Gaussian",Max,"10,000 train images, 5,000 val; ResNet-20 GroupNorm; 1,200 updates; val accuracy, not test",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain_lr0p005,plain_lr0p005,,valid,,1,1,41.78,,41.78,25.476598978,target,None,,,41.78,
gn_lr_audit,"GroupNorm LR diagnosis and 10,000-image plain vs Gaussian",Max,"10,000 train images, 5,000 val; ResNet-20 GroupNorm; 1,200 updates; val accuracy, not test",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain_lr0p02,plain_lr0p02,,valid,,1,1,34.74,,34.74,26.250710773999998,target,None,,,34.74,
gn_lr_audit,"GroupNorm LR diagnosis and 10,000-image plain vs Gaussian",Max,"10,000 train images, 5,000 val; ResNet-20 GroupNorm; 1,200 updates; val accuracy, not test",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain_seed0_lr0p02,plain_seed0_lr0p02,,valid,,1,1,50.72,,50.72,48.73158394400002,target,None,,,50.72,
resnet18bn_gaussian_pilot,"ResNet-18 BN, plain vs internal Gaussian",Max,"10,000-image subset, val split; ResNet-18 BatchNorm; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian_r18,gaussian_r18_seed0 [launch resnet18-gaussian-20260908-144640],,valid,,1,1,62.160000000000004,,62.16,197.43078995399992,target,None,,,62.160000000000004,
resnet18bn_gaussian_pilot,"ResNet-18 BN, plain vs internal Gaussian",Max,"10,000-image subset, val split; ResNet-18 BatchNorm; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian_r18,gaussian_r18_seed0 [launch resnet18-gaussian-complete],,valid,,1,1,62.160000000000004,,62.16,197.43078995399992,target,None,,,62.160000000000004,
resnet18bn_gaussian_pilot,"ResNet-18 BN, plain vs internal Gaussian",Max,"10,000-image subset, val split; ResNet-18 BatchNorm; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain_r18,plain_r18_seed0,,valid,,1,1,54.26,,54.26,150.70183232400007,target,None,,,54.26,
resnet20bn_gaussian_pilot,"ResNet-20 BN pilot, plain vs internal Gaussian",Max,"10,000-image subset, 2,400 updates, val split; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian_r20bn,gaussian_r20bn_seed0,,valid,,1,1,59.62,,59.62,173.99369955299994,target,None,,,59.62,
resnet20bn_gaussian_pilot,"ResNet-20 BN pilot, plain vs internal Gaussian",Max,"10,000-image subset, 2,400 updates, val split; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain_r20bn,plain_r20bn_seed0,,valid,,1,1,55.36,,55.36,119.19869513999998,target,None,,,55.36,
fulldata_gaussian,Full-data plain / Gaussian plateau / geometric,Max,reference recipe; evaluation every 2 epochs; this run produced the pinned campaign asset set,test,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,geometric,geometric_seed0,,valid,,3,3,78.46333333333332,0.7227954989714134,"77.63,78.84,78.92",683.6545186213334,target,r20bn-campaign-assets,30.0,50000.0,78.46333333333332,0.7227954989714134
fulldata_gaussian,Full-data plain / Gaussian plateau / geometric,Max,reference recipe; evaluation every 2 epochs; this run produced the pinned campaign asset set,test,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain,plain_seed0,,valid,,3,3,75.40333333333335,0.3950105483823571,"75.10,75.26,75.85",458.00203136399995,target,r20bn-campaign-assets,30.0,50000.0,75.40333333333334,0.3950105483823571
fulldata_gaussian,Full-data plain / Gaussian plateau / geometric,Max,reference recipe; evaluation every 2 epochs; this run produced the pinned campaign asset set,test,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plateau,plateau_seed0,,valid,,3,3,78.41333333333334,0.3200520790954671,"78.27,78.78,78.19",692.9871735749999,target,r20bn-campaign-assets,30.0,50000.0,78.41333333333334,0.32005207909546707
db2_pilot,db2 wavelet shrinkage pilot (thread closed),Max,"10,000-image subset, 2,400 updates, val split; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,db2_r20bn,db2_r20bn_seed0,,valid,,1,1,56.34,,56.34,3855.6102127199997,target,None,,,56.34,
db2_pilot,db2 wavelet shrinkage pilot (thread closed),Max,"10,000-image subset, 2,400 updates, val split; seed 0",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,plain_r20bn,plain_r20bn_seed0,,valid,,1,1,55.400000000000006,,55.40,89.25485484199999,target,None,,,55.400000000000006,
progressive_resolution_pilot,"Progressive input resolution, one seed",Max,"reference recipe, seed 0; pairs with fulldata_gaussian seed 0",test,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,progres,progres_seed0,,valid,,1,1,79.57,,79.57,451.99022327499995,current=target,r20bn-campaign-assets,30.0,50000.0,79.57,
progressive_resolution_pilot,"Progressive input resolution, one seed",Max,"reference recipe, seed 0; pairs with fulldata_gaussian seed 0",test,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,progres_gauss,progres_gauss_seed0,,valid,,1,1,79.93,,79.93,673.6647389509999,current=target,r20bn-campaign-assets,30.0,50000.0,79.93,
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",R32__Ggeo__input_bilinear__all19,"Blur every conv layer, geometric decay",gauss,valid,,3,3,78.28333333333333,0.5030241876225573,"77.84,78.83,78.18",702.6579938233334,current=target,r20bn-campaign-assets,30.0,50000.0,78.28333333333333,0.5030241876225573
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",R32__Gmix__input_bilinear__all19,Blend each layer between itself and its blur,mix,valid,,3,3,78.18333333333332,0.36143233576056105,"77.77,78.44,78.34",789.3697964593333,current=target,r20bn-campaign-assets,30.0,50000.0,78.18333333333332,0.36143233576056105
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",R32__Gnone__input_bilinear__all19,"Baseline: no blur, full 32x32 throughout",plain,valid,,3,3,75.61666666666666,0.4850085909892064,"75.62,76.10,75.13",488.71135311166626,current=target,r20bn-campaign-assets,30.0,50000.0,75.61666666666666,0.4850085909892065
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",R32__Gplateau__input_bilinear__all19,"Blur every conv layer, annealed to zero",gauss,valid,,3,3,78.69333333333334,0.6785523806850374,"79.07,79.10,77.91",696.1203925216669,current=target,r20bn-campaign-assets,30.0,50000.0,78.69333333333334,0.6785523806850375
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",R32__Gplateau__input_bilinear__early7,"Blur every conv layer, annealed to zero, first 7 layers only",gauss,valid,,3,3,75.23666666666666,0.7392112914000558,"75.43,74.42,75.86",593.1259691156665,current=target,r20bn-campaign-assets,30.0,50000.0,75.23666666666666,0.7392112914000558
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rgentle__Ggeo__input_bilinear__all19,"Shrink the input image (bilinear), 24 to 32 only, plus blur every conv layer, geometric decay",res_gauss,valid,,3,3,79.68333333333334,0.565803263805835,"80.01,79.03,80.01",703.5308784273334,current=target,r20bn-campaign-assets,30.0,50000.0,79.68333333333334,0.565803263805835
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rgentle__Gnone__input_bilinear__all19,"Shrink the input image (bilinear), 24 to 32 only",res,valid,,3,3,78.56333333333333,0.34063665882188016,"78.76,78.17,78.76",486.2098572813332,current=target,r20bn-campaign-assets,30.0,50000.0,78.56333333333333,0.34063665882188016
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rgentle__Gplateau__input_bilinear__all19,"Shrink the input image (bilinear), 24 to 32 only, plus blur every conv layer, annealed to zero",res_gauss,valid,,3,3,79.77,0.7238093671679072,"79.27,79.44,80.60",694.1474467700001,current=target,r20bn-campaign-assets,30.0,50000.0,79.77,0.7238093671679072
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Ggeo__input_bilinear__all19,"Shrink the input image (bilinear), 16 to 24 to 32, plus blur every conv layer, geometric decay",res_gauss,valid,,3,3,79.90666666666667,0.9226230721878418,"79.77,80.89,79.06",708.8524587810001,current=target,r20bn-campaign-assets,30.0,50000.0,79.90666666666667,0.9226230721878418
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gmix__input_bilinear__all19,"Shrink the input image (bilinear), 16 to 24 to 32, plus blend each layer between itself and its blur",res_gauss,valid,,3,3,79.51,0.797307970611107,"80.34,78.75,79.44",783.0454702176667,current=target,r20bn-campaign-assets,30.0,50000.0,79.51,0.797307970611107
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gnone__input_bilinear__all19,"Shrink the input image (bilinear), 16 to 24 to 32",res,valid,,3,3,79.48333333333333,0.5435377938408098,"79.20,79.14,80.11",492.32312198866657,current=target,r20bn-campaign-assets,30.0,50000.0,79.48333333333333,0.5435377938408098
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gnone__input_max__all19,"Shrink the input image (max-pool), 16 to 24 to 32",res,valid,,3,3,79.79666666666667,0.500533049191893,"79.77,80.31,79.31",489.28971313500006,current=target,r20bn-campaign-assets,30.0,50000.0,79.79666666666667,0.500533049191893
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gnone__stem_bilinear__all19,"Shrink the first conv layer (bilinear), 16 to 24 to 32",res,valid,,3,3,78.90666666666667,0.3700450423034088,"78.48,79.10,79.14",484.00407235700004,current=target,r20bn-campaign-assets,30.0,50000.0,78.90666666666667,0.3700450423034088
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gnone__stem_max__all19,"Shrink the first conv layer (max-pool), 16 to 24 to 32",res,valid,,3,3,79.96666666666667,0.5832095106677644,"80.64,79.62,79.64",490.6531613096665,current=target,r20bn-campaign-assets,30.0,50000.0,79.96666666666667,0.5832095106677644
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gplateau__input_bilinear__all19,"Shrink the input image (bilinear), 16 to 24 to 32, plus blur every conv layer, annealed to zero",res_gauss,valid,,3,3,80.71333333333332,0.6470188044665601,"81.42,80.15,80.57",699.6321766893334,current=target,r20bn-campaign-assets,30.0,50000.0,80.71333333333334,0.6470188044665601
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gplateau__input_bilinear__early7,"Shrink the input image (bilinear), 16 to 24 to 32, plus blur every conv layer, annealed to zero, first 7 layers only",res_gauss,valid,,3,3,79.27,0.5699999999999983,"79.27,78.70,79.84",596.3290658229998,current=target,r20bn-campaign-assets,30.0,50000.0,79.27,0.5699999999999983
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gplateau__input_max__all19,"Shrink the input image (max-pool), 16 to 24 to 32, plus blur every conv layer, annealed to zero",res_gauss,valid,,3,3,80.34,0.7562407024221818,"80.16,81.17,79.69",737.719607009,current=target,r20bn-campaign-assets,30.0,50000.0,80.34,0.7562407024221819
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gplateau__stem_bilinear__all19,"Shrink the first conv layer (bilinear), 16 to 24 to 32, plus blur every conv layer, annealed to zero",res_gauss,valid,,3,3,79.29666666666667,0.616143922580868,"78.66,79.34,79.89",749.8711291166668,current=target,r20bn-campaign-assets,30.0,50000.0,79.29666666666667,0.616143922580868
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rprog__Gplateau__stem_max__all19,"Shrink the first conv layer (max-pool), 16 to 24 to 32, plus blur every conv layer, annealed to zero",res_gauss,valid,,3,3,79.80999999999999,0.7861933604400408,"80.62,79.05,79.76",747.2482563863333,current=target,r20bn-campaign-assets,30.0,50000.0,79.81,0.7861933604400408
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rreverse__Gnone__input_bilinear__all19,"Shrink the input image (bilinear), 24 to 16 to 32 (order control)",res,valid,,3,3,79.22666666666666,0.40216083018281984,"79.56,79.34,78.78",466.82327381266686,current=target,r20bn-campaign-assets,30.0,50000.0,79.22666666666667,0.40216083018281984
campaign_grid21,21-configuration grid: resolution x blur x site,Max,reference recipe; evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",Rreverse__Gplateau__input_bilinear__all19,"Shrink the input image (bilinear), 24 to 16 to 32 (order control), plus blur every conv layer, annealed to zero",res_gauss,valid,,3,3,79.32666666666667,0.37753587026047225,"79.24,79.74,79.00",756.992424031,current=target,r20bn-campaign-assets,30.0,50000.0,79.32666666666667,0.37753587026047225
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",B_blurpool,Fixed anti-alias blur before each downsample (control),constant,valid,fixed BlurPool architecture kept at inference: its target path is not the plain ResNet-20,1,1,78.51,,78.51,459.7754712369999,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,78.51,
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",B_blurpool_plateau,"Fixed anti-alias blur before each downsample, plus annealed blur everywhere",res_gauss,valid,fixed BlurPool architecture kept at inference: its target path is not the plain ResNet-20,1,1,79.19,,79.19,697.9397827759999,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,79.19,
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",C_plain,"Baseline: no blur, full 32x32 throughout (ablation batch)",plain,valid,,1,1,75.06,,75.06,422.74991600400006,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,75.06,
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",C_plateau,"Blur every conv layer, annealed to zero",gauss,valid,,1,1,78.18,,78.18,648.400603669,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,78.18,
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",D0,"Shrink block 0 with max-pool, 16 to 24 to 32",res,valid,,3,3,80.43999999999998,0.428835632847835,"80.07,80.34,80.91",455.3776495293334,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,80.44,0.428835632847835
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",D0G,"Shrink block 0, plus blur after every ReLU",res_gauss,valid,,1,1,80.53,,80.53,544.9563959760001,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,80.53,
ablation_aa,"Anti-aliasing ablation: placement, masks, constant sigma, BlurPool, internal reductions, per-layer profiles",Idriss,reference recipe; own pinned initial weights (r20bn-ablation-assets); evaluation every 2 epochs,test,"wall_seconds from model construction to summary write, including evaluations and checkpoint writes; eval_seconds counts snapshot evaluation only; train_seconds = wall - eval (so it includes data indexing and checkpoint I/O). One T4, two cells in parallel on a two-GPU kernel.",D1,"Shrink block 1 with max-pool, 16 to 24 to 32",res,valid,,3,3,80.58999999999999,0.4121892769104996,"80.42,80.29,81.06",447.377761463,target (declared primary_path),r20bn-ablation-assets,30.0,50000.0,80.58999999999999,0.4121892769104996
