campaign,arm,seed,account,tag,updates,updates_ok,checkpoint_present,checkpoint_sha_matches,recorded_check_matches,P0_repeat_identical,learned_unchanged_all_policies,config_sha_frozen,extended_perms_sha_frozen,finite_final_train_loss,native_state
adamw_long_noaug_160,resolution_max_b1,1,maxlefrr,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}"
adamw_long_noaug_160,resolution_max_b1,2,maximemonstrenikez,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}"
adamw_long_noaug_160,resolution_max_b1_gaussian_conv,0,maximemonstrenikez,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}"
adamw_long_noaug_160,resolution_max_b1_gaussian_conv,1,maxnicaise,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}"
adamw_long_noaug_160,resolution_max_b1_gaussian_conv,2,maxnikezz,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}"
adamw_long_noaug_160,sdpoint,0,maxmonstre,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}"
adamw_long_noaug_160,sdpoint,1,maxnicaise,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}"
adamw_long_noaug_160,sdpoint,2,maxmonstre,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}"
sgd_standard_aug_160,cbs_budget_matched,0,maxlefrr,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}"
sgd_standard_aug_160,cbs_budget_matched,1,maximemonstrenikez,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}"
sgd_standard_aug_160,cbs_budget_matched,2,maxmonstre,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}"
sgd_standard_aug_160,cbs_published_schedule,0,maxlefrr,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}"
sgd_standard_aug_160,cbs_published_schedule,1,maximemonstrenikez,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}"
sgd_standard_aug_160,cbs_published_schedule,2,maxnikezz,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}"
sgd_standard_aug_160,gaussian_postrelu,0,maxlebossdu91,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}"
sgd_standard_aug_160,gaussian_postrelu,1,maxnikezz,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}"
sgd_standard_aug_160,gaussian_postrelu,2,maxlefrr,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}"
sgd_standard_aug_160,plain,0,maximemonstrenikez,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": null}"
sgd_standard_aug_160,plain,1,maxnicaise,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": null}"
sgd_standard_aug_160,plain,2,maxnikezz,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sigma"": null}"
sgd_standard_aug_160,resolution_max_b1,0,maximemonstrenikez,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}"
sgd_standard_aug_160,resolution_max_b1,1,maxnikezz,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}"
sgd_standard_aug_160,resolution_max_b1,2,maxlefrr,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}"
sgd_standard_aug_160,resolution_max_b1_gaussian_conv,0,maxlebossdu91,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}"
sgd_standard_aug_160,resolution_max_b1_gaussian_conv,1,maxnicaise,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}"
sgd_standard_aug_160,resolution_max_b1_gaussian_conv,2,maxlebossdu91,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}"
sgd_standard_aug_160,sdpoint,0,maxnicaise,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}"
sgd_standard_aug_160,sdpoint,1,maxnicaise,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}"
sgd_standard_aug_160,sdpoint,2,maxmonstre,t2,62560,True,True,True,True,True,True,True,True,True,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}"
